name:full;birth:location;birth:year;education:location:0;education:year:0;education:location:1;education:year:1;education:location:2;education:year:2;position:job:0;position:job_location:0;position:job_year:0;position:job:1;position:job_location:1;position:job_year:1;position:job:2;position:job_location:2;position:job_year:2;position:job:3;position:job_location:3;position:job_year:3;position:job:4;position:job_location:4;position:job_year:4;position:job:5;position:job_location:5;position:job_year:5;position:job:6;position:job_location:6;position:job_year:6;position:job:7;position:job_location:7;position:job_year:7;position:job:8;position:job_location:8;position:job_year:8;position:role;position:role_location;position:role_year
Shen, Sumin Ellsworth;Huchow, Chekiang;1891;Huchow Memphis School;_;Nanyang College;_;_;_;Professor of Chemistry;Wuchang Government Teachers' College;1915;Wuchang Government Teachers' College;_;1915;Chemist;_;_;Chemistry;_;1911-13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Shen, Tsu-Way;Shanghai;1891;St. John's University;1904-10;University of Michigan;1910-14;Shanghai;1904-10;Professor of Surveying and Structural Engineering;Waterways Engineering College, Nanking;1915;Instructor in Drawing;Waterways Engineering College, Nanking;1914;Superintendent of Construction;Standard Oil Co., Shanghai;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tseng, Yu-Mei;Nantungchow, Kiangsu;1891;Nanyang Middle School;1906;National Institute;1907;Shanghai;1906;Instructor in Science;Nantung Textile School, Nantungchow;1916;Instructor in Science;Nantung Textile School, Nantungchow;1916;Chemistry;University of Wisconsin;1910-12;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sung, Far T.;Hsinghua, Fukien;1883;Anglo-Chinese School;1896-1900;Ohio Wesleyan University;1900-5;Hsinghua;1896-1900;Teacher;Fukien Provincial College;1907;Ministry of Finance;_;1912-13;Professor of Chemistry;Government University, Peking;1908-12;Technical Expert;Ministry of Finance;1913;Co-Director, Assaying Office, Ministry of Finance;_;1912-13;Inspector-General of Mints;Ministry of Fin- ance;1914-16;Director;_;_;College;Anglo-Chinese School;1896-1900;_;_;_;_;_;_
Woo, Koksan;Tientsin;1888;St. Joseph's College;_;Chemistry at the University of Wisconsin;_;_;_;Professor of Chemistry;_;_;Professor of Chemistry;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Woo, Nae-Tsung;Hangchow, Chekiang;1906;Chiu Shih College;_;University of California;_;Nanyang College;_;Compiler of the Ministry of Communications;_;1910;Law;_;_;President;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Woo, Tsing-Too;Tai-Hsien, Kiangsu;1889;Nanyang College;_;Shanghai;_;_;_;Ministry of Communications;_;1915;Telegraph Department;President's Office;1916;Member;Ministry of Communications;1914;Member;Ministry of Communications;1914;Teacher;Government Teachers' College, Peking;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wu, Andrew Gayson;_;1876;Fort Worth University;1910;_;_;_;_;Teacher;Kwang Wah Medical College;1913;Dean, Southern Hospital;Canton;1916;President;Canton;1914-15;College;_;_;College;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wu, C. K.;Soochow;1889;Aikuo School;1902-3;Nanyang Middle School;1903-7;Shanghai;1902-3;Teacher;Chungying Middle School, Nanking;1908;Teacher of Mathematics;Government Teachers' College, Nanking;1915;Teacher;Chungying Middle School, Nanking;1908;Teacher;Chungying Middle School, Nanking;1908;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wu, Solvisto K;Soochow;1888;Loongmen Normal College;1905-6;Fu Tan College;1906-7;Kiangnan College;1908-10;Instructor in Psychology;_;_;Government Teachers' College;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yui, David Z. T;Wuchang, Hupeh;1882;Boone School, Wuchang;_;St. John's University;_;_;_;Instructor and Major of Cadet Corps;Boone College, Wuchang;1905-8;Viceroy;_;1904;Editor;Boone Educational World;1906-8;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chao, Chang-Kwang;Hangchow, Chekiang;1884;Chiu Shih School;_;Hangchow;_;_;_;Bureau of Currency and Banking, Ministry of Finance;_;1913;Dean, Department of Economics and Finance;Government Law School, Peking;1912-13;Teacher;Chekiang Provincial College;1910-11;Teacher;Chekiang Provincial College;1910-11;Member;Cosmopolitan Club;1909;Dean;Chekiang Provincial College;_;_;_;_;_;_;_;_;_;_;_;_;_
Chin, Tai;Tientsin;1882;Pu Tung School;1901-2;Peiyang University;1903-6;Tientsin;1901-2;Ministry of Agriculture, Industry and Commerce;_;_;Junior Clerk;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chin, Yushu;Hwachow, Anhui;1882;Chili Provincial College;_;Paoting;_;_;_;General Manager;Kwangtung Press, Mukden;1905-6;Manager;Shanghai;1911-13;Director, Engineering Club;_;1914;Manager, The Tech, 1909-10. Student Engineer, General Electrical Company;_;1910;Editor;The Alarming Bell, Mukden;1903-6;Editor of several papers, Shanghai, 1911-13. Sub-Manager;_;1911-13;Manager, Bank of Territorial Development;Harbin;1914-15;Press;Mukden;1905-6;Engineering;_;_;_;_;_
King, P. C.;Hangchow, Chekiang;1887;Nankiang College of Science;1901-2;_;_;_;_;Director, Bureau of Forestry;Anking;1915;Forestry;Cornell University;1910-14;Principal;Agricultural College and Director, Bureau of Forestry, Anking;1914;college;Nankiang College of Science;1901-2;Customs College;Peking;1908-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chiu. Samel;Amoy;1880;St. John's University;1901-7;Hope Hospital;1897-1900;Amoy;1897-1900;Professor of Chemistry;Boone University, Wuchang;1909-13;Physician;Shankiang College, Nanking;1908-9;Physician;Shankiang College, Nanking;1908-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chow, Chu-Shen;Chin-Pu, Kiangsu;1884;Anglo-Chinese College;1900-3;Soochow University;1903-4;Shanghai;1900-3;Professor of Mechanical Engineering;_;_;Engineer in Charge, Traffic Division and Brick Factory;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chow, H. K;Wusih, Kiangsu;1889;Nanyang College;1901-8;Shanghai;1901-8;Tangshan Railway and Engineering College;1908-10;Mechanical Engineering and Naval Architecture;Massachusetts Institute of Technology;1911-14;Correspondent of London Aeronautics. Aeronautic Engineer;Curtiss Aeroplane Co;1915-16;Engineer, Commercial Press;Shanghai;1916;Advisor to Govern- ment Teachers' College;Nanking;1916;Aeronautical Engineering;Massachusetts Institute of Technology;1914-5;Secretary, Chinese Students' Allian- ce, 1914-15. Author;_;1916;Engineering;Massachusetts Institute of Technology;1911-14;_;_;_;_;_;_;_;_;_
Chow, Jen;Hangchow, Chekiang;1891;Nan- yang Middle School;1905-6;Kiangnan College;1908-10;Cheng-Chih School;1906-8;Mechanical Engineering;Cornell Unversity;1914-15;Studied Mechanical Engineering;Cornell Unversity;1910-15;Editor;_;_;Science Society of China;_;1914-15;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chow, Kai-Chi;Shanghai;1886;Tientsin Military School;_;Nanyang College;_;_;_;Teacher, Private School;Chingsha;1905-7;Geologist, Hupeh Bureau of Mines, 1914. Mining Engineer;Changsha, Hunan;1914;Mining Engineering;Wah Chang Mining and Smelting Co., Changsha, Hunan;1908- 10;Mining Engineers;Wah Chang Mining and Smelting Co., Changsha;1913;Student Assistant;Tennessee Copper Co;1913;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chow, Kuei;Chien-Teh, Anhui;1889;Butler College;_;Liberal Arts;_;_;_;Medicine;University of Louisville, Ky;1911-15;Medical Practitioner;Shanghai;1915;Medical;University of Louisville, Ky;1911-15;Member;Medical Association of China;August, 1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chow, K. Y;Fukien;1884;University of Chicago;_;the;_;_;_;Office of the Cabinet;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chow, Lien;Tsinan, Shantung;1885;Shantung Provincial College;_;_;_;_;_;Teacher of Cotton Spinning;Textile School, Nantungchow;1916;Commerce;Valparaiso University;1914-16;China;_;January, 1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chow, Lun-Yuen;Ningpo, Chekiang;1890;Baptist Academy;1903-7;St. John's University;1907- 10;Ningpo;1903-7;Assistant Engineer;Pinghsiang Colliery;1916;Teacher, Middle School;Ningpo;1910;Agent;Standard Oil Co., Shanghai;1907;Colliery;_;December, 1915;Mining Engineering;Lehigh University;1912-15;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chow, Tien;Peking;1878;Govern- ment University;1902-3;Victoria University;1904-9;Peking;1902-3;Ministry of Agriculture;_;1911;Senior Clerk;_;1911;Teacher;Government University, Peking;1910;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chow, William T.H;Huchow, Chekiang;1884;Peiyang University;1905-6;Tientsin;1905-6;Studied;1905-6;Dean, Honan Provincial College;Kaifeng;1912-13;Officer in Charge, Shao-Hsing Salt Revenue Office;Shao-Hsing;1916;Chief Secretary;Liang- che Salt Inspectorate, Hangchow;1913-15;Law;Chicago University;1909-11;China;_;January, 1912;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsur, Ye-Tsung;Hankow, Hupeh;1883;St. John's University;_;Shanghai;_;_;_;Ministry of Foreign Affairs;Provisional Govern- ment, Nanking;1912;Teacher of English and History;National Institute, Woo- sung;1910-1;Instructor;St. John's University, Shanghai;1901-7;Secretary;_;_;Vice-President and Dean;Tsing Hua College;1912-13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chow, Zian-Yien;Shanghai;1890;Nanyang College;_;Shanghai;_;_;_;Professor of Sanitary Engineering;Government University, Peking;1915;Bureau of Municipal Administration;Peking;1915-16;Vice-President;M.I.T. Cosmopolitan Club;1911;Technical Expert, Ministry of Interior;_;1916;Engineer;Bureau of Municipal Administration, Peking;June, 1915;President;_;1913-14;_;_;_;_;_;_;_;_;_;_;_;_
Chuck, H. S;Hsiangshan, Kwangtung;1884;Civil Engineering at Leland Stanford University;1907-11;_;_;_;_;Assistant Hydrographer;Shanghai;1913-14;Assistant Engineer;Szechuen-Hankow Railway;1914-15;Engineer;_;_;charge;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chuck, Y. S;Hsiangshan, Kwangtung;1891;University of Nanking;1905-6;the;1905-6;St. John's University;1906-11;Secretary;_;_;Chair- man;Chinese Students' Alliance;1913-14;Vice-President;Stanford Cosmopolitan Club;1914-15;Chinese Students' Alliance;Western Section;1913-14;Economics;Leland Stanford Universtiy;1912-15;Club;_;_;tional;_;_;Chinese Y.M.C.A., Shanghai;_;1915;1915;_;_;_;_;_
Lin, Kyan-Zung;Tientsin;1890;St. John's University;_;Shanghai;_;_;_;Superintendent of Construction;Shanghai;July, 1915;English;_;1915;Assistant;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ling, Pyau;Hsiangshan, Kwangtung;1888;St. John's University;1905-8;Shanghai;1905-8;University of Wisconsin;1908-12;Interpreter;Chinese Legation at Berlin;1914-16;Member, Minis- try of Foreign Affairs;_;1917;Law;Imperial University of Berlin;1914-16;Chinese Legation;Berlin;1914-16;graduate course;Imperial University of Berlin;1914-16;doctor's dissertation;"""";1914-16;China;_;_;post;Imperial University of Berlin;1914-16;_;_;_;_;_;_
Ling, Tsoerun Lee;Hankow, Hupeh;1883;Kiukiang Academy;_;William Nast College;_;_;_;Teacher;William Nast College;1904-7;City School Superintendent;_;1913;Dean;Fu The College, Hankow;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yeh, Ting Shien;Lee Ling, Hunan;1886;Changsha Middle School;1904-5;Changsha;1904-5;Chinese Educational Mission School;1906;Instructor;Li Kiang School, Pinghsiang;1907;Instructor in Electrical Engineering;Hunan Polytechnic Institute;1915-16;College of Finance;Peking;1909-10;President, Lehigh Chinese Students' Club;_;1913-14;Engineer;Siemens China Co., Hankow;1916;Editor;_;_;Head of Physics and Mathematis Department;Government Teachers' College, Hunan;1916;_;_;_;_;_;_;_;_;_
Hu, C. P.;Kiukiang, Kiangsi;1872;_;_;_;_;_;_;school;Chinkiang;1893-99;Teacher;William Nast College, Kiukiang;1908-14;Preacher;Kiukiang;1899-1905;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hu, Chang-Ho;Kiukiang;1883;William Nast College;1894-1904;William Nast College;1894-1904;Kiukiang;1894-1904;Principal;First Min-Li School, Kiukiang;1906-10;School;William Nast College, Kiukiang;1894-1904;er;Kiukiang;1894-1904;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hu. H. H;Nanchang;1894;Hung Du Middle School;_;Government University;_;_;_;Correspondent;_;1915-16;Vice-President;California Chinese Students' Club;1915;Secretary;_;_;Chinese Students' Alliance;_;1914-15;Chinese Students' Quarterly and Science;_;1915-16;Manager;_;1915-16;Chinese;_;July, 1916;Club;_;_;_;_;_;_;_;_
Hu, H. Y;Wusih, Kiangsu;1888;Nanyang College;1900-7;University of Pennsylvania;1908-11;Shanghai;1900-7;Auditor, Ministry of Communications;_;_;Professor;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hu, Shien-Sung;Wusih, Kiangsu;1890;Nanyang College;1900-3;Soochow University;1904-5;Shanghai;1900-3;College of Languages;Peking;1905-10;Forestry;Cornell University;1910- 16;Studied;Nanyang College;1900-3;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hu, Theodore C.;Whampoo, Kwangtung;1873;Queen's College;_;Hongkong;_;_;_;Draftsman;Dockyard, Hongkong;1899- 1900;Dean;Nanyang College, Shanghai;1910-14;Inspector of Railroads;Kwangtung;1909-10;Engineer;Szechuen-Hankow Railway;March, 1907;College;Hongkong;1890-95;Chief of the Technical Department;Nanking- Hunan Railway;1914-16;Dockyard;Hongkong;1899- 1900;_;_;_;_;_;_;_;_;_
Hu, Thomas Mei;Nanking;1877;Tung Wen School;_;Anglo-Chinese College;_;Nanking;_;Medicine;Vanderbuilt University;1903-6;Chief Medical Officer;Lin-Hwai-Kwan;1911-12;College;Shanghai;_;Bureau of Foreign Affairs;Anking;1912-13;Co-Director;Foreign Office, Tientsin;1908-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hu, Wenfu Yiko;Szechi. Chekiang;1876;St. John's University;_;Shanghai;_;_;_;Legal Adviser, Ministry of Communications;Government University, Peking;1909;Instructor in English;Nanyang College, Shanghai;1899-1906;Professor;Government University, Peking;1909-12;Secretary;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Woo, Chang;Satlung, Kwangtung;1890;Liangkwang College;_;Canton;_;_;_;Teacher of Mathematics;Government Teachers' College and Superintendent, Fang Hing Tannery, Canton;1914;Teacher;Kwangtung College, Canton;1913-14;Chemical Engineering;University of Wisconsin;1910-12;Superintendent;Fang Hing Tannery, Canton;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Woo, John Y. T.;Honolulu, T. H;1888;Iolani College;1900-8;Barnes University;1908-10;Honolulu;1900-8;Medical Officer;Nanking-Hunan Railway;1915;House Physician;Univer- sity of Nanking Hospital;1915;Officer;Societas Medica Chicuciga;_;Medicine and Surgery;Barnes University;1908-10;Physician in Charge, Government Teachers' College;Nanking;1915;Member, Chinese Students' Alliance;_;1911-14;Nanking-Hunan Railway;_;1915;_;_;_;_;_;_;_;_;_
Wu, Kai-Yin;Canton;1891;Canton Christian College;1906-10;Canton Christian College;1906-10;Yu Tsai School;1904-6;Teacher of Economics and English;_;_;Editor, Canton Christian College Quarterly;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Key. Da Yong;Nanhui, Kiangsu;1891;Nanhui School;1901-5;Nanyang College;1909-10;Sung Kiang Middle School;1905-8;Teacher;Lu Kia Hui Middle School, Shanghai;1909;Professor;Waterways Engineering College, Nanking;1915;Teacher;Lu Kia Hui Middle School, Shanghai;1909;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Long, K. T.;Kunshan, Kiangsu;1888;Nanyang College;_;Electrical Engineering at the University of Wisconsin;_;_;_;Assistant Electrical Engineer;Chinese Government Telephone Administration;1914-15;Engineer;_;_;Electrical Engineering;University of Wisconsin;_;Chinese Government Telephone Administration;_;1914-15;Superintendent;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sze, C. Frank;Shanghai;1877;Cook Academy and Cornell University;_;Studied;_;_;_;Secretary, Lung-Hai Railway;_;_;Auditor, Board of Audit;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sze, D. Oscar;Chingtse, Kiangsu;1888;St. John's University;_;Shanghai;_;_;_;Assistant Superintendent;San Sing Cotton Mill, Shanghai;1913-15;Superintendent;Chin Sing Cotton Mill, Wusih;1915;Textile Manufactur;Philadelphia Textile School;1907-10;Mill;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sze, Lienyuan Carlton;Shanghai;1877;Ithaca High School;_;college;_;_;_;Manager, Bank of Communications;_;_;Manager, Customs Department;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sze, Sao-Ke Alfred;Chengtse, Kiangsu;1876;St. John's University;_;Shanghai;_;_;_;Minister of Communications;_;1912;Ministry of Communications;_;1912;Junior Secretary;_;_;Director of Northern Railways;Customs Taotai, Harbin;1907-8;Master of Ceremonies;President's Office;1913;Vice-Minister;_;1911;_;_;_;_;_;_;_;_;_;_;_;_
Sze, S. C. Thomas;Hanghsien, Chekiang;1879;St. John's University;_;Shanghai;_;_;_;Assistant Locomotive Superintendent;Peking-Mukden Railway, Tangshan;1907;Locomotive Superintendent;Tientsin-Pukow Railway, Tientsin;1912;Assistant General Manager;Kailan Mining Administr- ation, Tientsin;1912;Chief Engineer;Tientsin Mint;November, 1905;Locomotive Superintendent;Tientsin-Pukow Railway, Tientsin;1912;Instructor, Tientsin Industrial College;_;1906;_;_;_;_;_;_;_;_;_;_;_;_
Sze, Tsannyuen;Soochow, Kiangsu;1888;Shun Cheng School;1900;St. John's University;1900-4;Shanghai;1900;Associate College Physician;Tsing Hua College, Peking;1916;Resident Physician;Columbia Hospital for Women, Washington, D. C.;1915-16;Medicine;George Washington University;1914;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sze, Y. Allan;Shanghai;1889;Shun Cheng School;1900-1;St. John's University;1901-6;Shanghai;1900-1;"college at Cook Academy, 1906-7; at Mercersberg Academy";_;1907-8;Studied Liberal Arts;University of Pennsylvania;1911-13;Private support;_;1906-7;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Bow, George Y. S;Hsiangshan, Kwungtung;1892;Grass Valley High School;1907-11;University of California;1911-12;college;1907-11;Teacher;Medhurst College, Shanghai;1915;President, Grass Valley High School Debating Club;_;1909-10;Sergeant, Norwich University Cadets Corps;_;1913-14;Chairman, Chinese Students' Alliance;Western Section;1911-12;College;Grass Valley High School;1907-11;Captain, First Cavalry, Vermont National Guard;_;1914;Assistant Enginer;Canton;1915;_;_;_;_;_;_;_;_;_
Yao, C. L;Tientsin;1888;Peiyang Univer- sity;1905-7;University of Pennsylvania;1907-11;Tientsin;1905-7;Secretary: Bureau of Foreign Affairs;Tientsin;1911-13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yui, C. Voonping;Taichang, Kiangsu;1885;St. John's University;1898- 1905;Liberal Arts;1898- 1905;Shanghai;1898- 1905;House Physician;St. Luke's Hospital;1906-8;College Physician;Nanyang College;1909-11;House Surgeon;St. Luke's Hospital;1908-9;Medicine;St. Luke's Hospital;1905-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chai, C. L.;Lanchow, Kansu;1887;Peiyang School;1906-10;University of Wisconsin;1911-15;Tientsin;1906-10;Secretary, Nanchang- Kiukiang Railway;Kiukiang;1915;Instructor;Government Teachers' Col- lege, Peking;1915;Government Teachers;Peking;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ch'in;Chia-Ting, Kiangsu;1909;Harvard University;_;_;_;_;_;Principal;Kiangnan College, Nanking and Pootung Middle School, Shanghai;June, 1910;Professor of Mathematics and Astronomy;Government Univer- sity, Peking;_;Teacher;Nanyang College, Shanghai;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chui, Leong;Canton;1892;Kwangtung Provincial College;_;Canton, and Ta Tong School;_;_;_;Ministry of Justice;_;1913;Member;_;1913;Ministry of Foreign Affairs;_;1916;1913;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hsu, Mongton;Taishan, Kwangtung;1886;Tangshan Railway and Engineering College;1906-10;_;_;_;_;Managing Director;Peking Mukden Railway;1916;Chief Manager;Tschen Pao;1914-15;Member, Transportation Department;Illinois Central Railway;1912;Office;Peking Mukden Railway, Peking;1916;Peking Mukden Railway;Peking;1916;Member;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hsü, Shöwin Wetzen;Tunghsiang, Chekiang;1881;Nanyang College;_;Shanghai;_;_;_;Compiler of Railway and Navigation Laws, Ministry of Communications;_;1909-11;Junior Secretary, Ministry of Education;_;1910-11;Chief of the Foreign Intercourse Bureau, Railway Department, Ministry of Communications;_;1909-11;Judge Advocate, Ministry of Navy;_;1910-12;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hsü, Sirwu Chingfu;Sungkiang, Kiangsu;1881;Nanyang College;_;University of Pennsylvania;1907-10;Shanghai;_;Instructor in Business Law, Economics and English;_;_;Dean, Preparatary Department;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hsü, Ting-Chuck;Hsiangshan, Kwangtung;1876;Mei Tse Academy;1891-93;Anglo-Chinese College;1894-96;Peiyang University;1893-1900;Commissioner of Industry;Mukden;1907-10;Junior Secretary;_;October, 1905;Director;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Kingman, H. B.;Hongkong;1885;St. Paul's College;1894-98;St. John's University;1902;Hongkong;1894-98;Honorary Surgeon;_;1905;Dental Surgery;Philadelphia Dental College;1902-5;Dental Practitioner;Peking and Tientsin;present;Manager;Shanghai;1908;Commercial Deputy to Strait Settle- ment by the Kwangtung Provincial Government;_;1908;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Zee, C. J;Quinsan, Kiangsu;1878;William Jewell College;_;Yale;_;_;_;Director, Preparatory School;_;_;University;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Zee, J. Z;Shanghai;1892;St. John's Univer- sity;_;University of Illinois;_;_;_;Engineer;Canton;1916;Electrical Engineering;University of Illinois;1910- 14;Tester;General Electric Co;1915-16;1916;_;July;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Zee, Ko-Seng;Nanch'in, Chekiang;1884;Anglo-Chinese College;_;Oberlin College;1912-14;Shanghai;_;Vice-President;Cosmopolitan Club;1912-14;Secretary, Chinese Students' Club;_;1913-14;Cosmopolitan Club, and Member, Students Volunteer Movement;_;1912-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Zee, T. Z;Shanghai;1888;St. John's University;_;Shanghai;_;_;_;Teacher;Tsing Hua College, Peking;1914-16;Business Administration;Harvard University;1912;Sociology;University of Chicago;1913-14;Assistant Manager;Chinese Students' Monthly;1911-14;Editor, Chung Hua Book Co;Shanghai;1916;College;St. John's University;1904-10;Chinese Students' Monthly;_;1911-14;_;_;_;_;_;_;_;_;_
Zee, Zai-Ziang;Shanghai;1882;St. John's University;1897-1904;_;_;_;_;Instructor of Chemistry;Hunan-Yale Medical College, Changsha;1916;Ministry of Finance;Peking;1914-15;Manager, Chinese Students' Monthly;_;1909-10;Editor;Commercial Press;_;School;St. John's University;1897-1904;English;Nanyang High School;_;Government Assayer;Peking;1914-15;Chemistry;Yale University;1916-10;_;_;_;_;_;_
Zi, Su;Wusih, Kiangsu;1891;St. John's University;1911;Shanghai;1911;Purdue University;1911-14;Engineer in charge of the Submarine Cable at Shanghai for the Ministry of Communications;_;_;Electrical Railway Engineering;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, Yu-Ying;Kushih, Honan;1883;Yu Tsai School;1898-1900;Tientsin;1898-1900;Shantung University;1901-2;Secretary, Ministry of Finance;_;_;Administration;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hoh, C. George;Tientsin;1889;Nanking Christian College;1898-1907;_;_;_;_;Associate Physical Director;Shanghai;1914;Treasurer;Weidensall Club;1911-14;Instructor, Kiangsu Physical Training Institute;_;1915-16;Secretary, Shanghai Chinese Glee Club;_;1914;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hou, Ching-Fei;Wusih, Kiangsu;1886;Nanyang College;1902;Chihli Provincial College;1904-5;Peiyang University;1905-7;shop Manager;_;1916;Director of Technical Depart- ment;Educational Commission, Nanking;1907-9;Work;shop Manager;1916;Workshop Inspector;Kalgan Workshop, Peking-Suiyuan Railway;1903;Educational Commission;Nanking;1907-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Turpin P;Shanghai;1891;Shun Cheng School;1900-3;Nanyang College;1906-9;Shanghai;1900-3;Surveyor and Sanitary Engineer;Tsing Hua College, Peking;1915;Vice-President and President;_;1912-13;Sanitary Engineering at Massa- chusetts Institute of Technology;_;1910-14;Secretary, M. I. T. Cosmopolitan Club;_;1913-14;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hsia, Yuan-Li;Hangchow, Chekiang;1907;America and Germany;_;Yale;_;Studied;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Kao, L. K.;Nanking;1886;_;_;_;_;_;_;Junior Clerk, Ministry of Communications;_;1916;Instructor, Military Academy;Nanking;1909;Interpreter;American Consulate, Nanking;1907-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Kuei, C. H;Chi-Chow, Hupeh;1881;Government University;1904-8;Peking;1904-8;Studied;1904-8;Banking College;Peking;1907-9;Magistrate;_;January, 1911;Business Administration;Harvard University;1909-10;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Leung, Louis;Shun-Te, Kwangtung;1887;College of the Pacific;1914-15;Fine Art;1914-15;the;1914-15;China;_;July, 1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Leung, Ting-Mai;Hao-Shan, Kwangtung;1860;San Francisco Dental College;_;Dental Surgery;_;_;_;Dental Practitioner;_;_;Surgery;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
